city,year,drought_risk_score,flood_risk_score,heatwave_risk_score,cyclone_risk_score,landslide_risk_score,composite_score,composite_category
Bengaluru,2015,3.05,88.47,1.2,0.0,0.0,27.54,MEDIUM
Bengaluru,2016,4.97,0.78,1.2,0.0,0.0,1.72,LOW
Bengaluru,2017,83.32,1.79,1.2,0.0,0.0,21.61,LOW
Bengaluru,2018,5.33,0.65,1.2,0.0,0.0,1.77,LOW
Bengaluru,2019,2.44,0.65,1.2,0.0,0.0,1.04,LOW
Bengaluru,2020,4.57,5.95,1.2,0.0,0.0,3.17,LOW
Bengaluru,2021,1.73,88.89,1.2,0.0,0.0,27.34,MEDIUM
Bengaluru,2022,3.9,0.72,1.2,0.0,0.0,1.43,LOW
Bengaluru,2023,5.1,0.65,1.2,0.0,0.0,1.71,LOW
Bhopal,2015,5.68,87.95,98.22,0.0,0.0,47.45,MEDIUM
Bhopal,2016,2.13,0.7,98.22,0.0,0.0,20.39,LOW
Bhopal,2017,89.4,0.99,98.09,0.0,0.0,42.26,MEDIUM
Bhopal,2018,87.47,4.47,98.22,0.0,0.0,42.85,MEDIUM
Bhopal,2019,0.35,7.44,98.95,0.0,0.0,22.11,LOW
Bhopal,2020,0.34,7.21,96.06,0.0,0.0,21.46,LOW
Bhopal,2021,0.78,6.33,1.2,0.0,0.0,2.33,LOW
Bhopal,2022,12.5,31.39,98.22,0.0,0.0,32.19,MEDIUM
Bhopal,2023,71.26,4.24,46.2,0.0,0.0,28.33,MEDIUM
Bhubaneswar,2015,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Bhubaneswar,2016,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Bhubaneswar,2017,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Bhubaneswar,2018,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Bhubaneswar,2019,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Bhubaneswar,2020,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Bhubaneswar,2021,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Bhubaneswar,2022,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Bhubaneswar,2023,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Bikaner,2015,1.41,10.22,98.95,0.0,0.0,23.21,LOW
Bikaner,2016,4.28,6.67,98.95,0.0,0.0,22.86,LOW
Bikaner,2017,1.67,6.67,98.95,0.0,0.0,22.21,LOW
Bikaner,2018,3.15,6.67,98.95,0.0,0.0,22.58,LOW
Bikaner,2019,1.87,25.1,98.22,0.0,0.0,27.64,MEDIUM
Bikaner,2020,3.03,7.63,98.95,0.0,0.0,22.84,LOW
Bikaner,2021,42.82,6.67,98.95,0.0,0.0,32.5,MEDIUM
Bikaner,2022,2.05,7.41,98.22,0.0,0.0,22.38,LOW
Bikaner,2023,8.76,10.22,98.95,0.0,0.0,25.05,MEDIUM
Chennai,2015,0.56,1.94,1.2,1.55,0.0,1.19,LOW
Chennai,2016,18.94,2.1,1.2,1.55,0.0,5.84,LOW
Chennai,2017,4.2,0.6,3.92,1.55,0.0,2.25,LOW
Chennai,2018,1.26,0.68,1.2,1.55,0.0,0.99,LOW
Chennai,2019,63.65,1.81,1.2,1.55,0.0,16.93,LOW
Chennai,2020,0.38,4.11,8.93,1.55,0.0,3.35,LOW
Chennai,2021,0.84,5.75,1.2,1.55,0.0,2.41,LOW
Chennai,2022,0.84,1.67,1.2,1.55,0.0,1.18,LOW
Chennai,2023,0.94,25.86,2.19,1.55,0.0,8.66,LOW
Darjeeling,2015,0.0,0.0,0.0,0.0,86.77,8.68,LOW
Darjeeling,2016,0.0,0.0,0.0,0.0,98.54,9.85,LOW
Darjeeling,2017,0.0,0.0,0.0,0.0,98.54,9.85,LOW
Darjeeling,2018,0.0,0.0,0.0,0.0,3.65,0.36,LOW
Darjeeling,2019,0.0,0.0,0.0,0.0,98.54,9.85,LOW
Darjeeling,2020,0.0,0.0,0.0,0.0,98.54,9.85,LOW
Darjeeling,2021,0.0,0.0,0.0,0.0,98.54,9.85,LOW
Darjeeling,2022,0.0,0.0,0.0,0.0,3.18,0.32,LOW
Darjeeling,2023,0.0,0.0,0.0,0.0,98.54,9.85,LOW
Dehradun,2015,0.0,0.0,0.0,0.0,0.83,0.08,LOW
Dehradun,2016,0.0,0.0,0.0,0.0,6.7,0.67,LOW
Dehradun,2017,0.0,0.0,0.0,0.0,1.66,0.17,LOW
Dehradun,2018,0.0,0.0,0.0,0.0,91.34,9.13,LOW
Dehradun,2019,0.0,0.0,0.0,0.0,0.83,0.08,LOW
Dehradun,2020,0.0,0.0,0.0,0.0,0.83,0.08,LOW
Dehradun,2021,0.0,0.0,0.0,0.0,0.83,0.08,LOW
Dehradun,2022,0.0,0.0,0.0,0.0,0.83,0.08,LOW
