city,year,lat,lon,cyclone_label,cyclone_prob,cyclone_risk_score,risk_category
Bhubaneswar,2015,20.3,85.82,0,0.0155,1.55,LOW
Bhubaneswar,2016,20.3,85.82,0,0.0155,1.55,LOW
Bhubaneswar,2017,20.3,85.82,0,0.0155,1.55,LOW
Bhubaneswar,2018,20.3,85.82,0,0.0155,1.55,LOW
Bhubaneswar,2019,20.3,85.82,0,0.0155,1.55,LOW
Bhubaneswar,2020,20.3,85.82,0,0.0155,1.55,LOW
Bhubaneswar,2021,20.3,85.82,0,0.0155,1.55,LOW
Bhubaneswar,2022,20.3,85.82,0,0.0155,1.55,LOW
Bhubaneswar,2023,20.3,85.82,0,0.0155,1.55,LOW
Chennai,2015,13.08,80.27,0,0.0155,1.55,LOW
Chennai,2016,13.08,80.27,0,0.0155,1.55,LOW
Chennai,2017,13.08,80.27,0,0.0155,1.55,LOW
Chennai,2018,13.08,80.27,0,0.0155,1.55,LOW
Chennai,2019,13.08,80.27,0,0.0155,1.55,LOW
Chennai,2020,13.08,80.27,0,0.0155,1.55,LOW
Chennai,2021,13.08,80.27,0,0.0155,1.55,LOW
Chennai,2022,13.08,80.27,0,0.0155,1.55,LOW
Chennai,2023,13.08,80.27,0,0.0155,1.55,LOW
Goa,2015,15.49,73.83,0,0.0155,1.55,LOW
Goa,2016,15.49,73.83,0,0.0155,1.55,LOW
Goa,2017,15.49,73.83,0,0.0155,1.55,LOW
Goa,2018,15.49,73.83,0,0.0155,1.55,LOW
Goa,2019,15.49,73.83,0,0.0155,1.55,LOW
Goa,2020,15.49,73.83,0,0.0155,1.55,LOW
Goa,2021,15.49,73.83,0,0.0155,1.55,LOW
Goa,2022,15.49,73.83,0,0.0155,1.55,LOW
Goa,2023,15.49,73.83,0,0.0155,1.55,LOW
Kochi,2015,9.93,76.27,0,0.0155,1.55,LOW
Kochi,2016,9.93,76.27,0,0.0155,1.55,LOW
Kochi,2017,9.93,76.27,0,0.0155,1.55,LOW
Kochi,2018,9.93,76.27,0,0.0155,1.55,LOW
Kochi,2019,9.93,76.27,0,0.0155,1.55,LOW
Kochi,2020,9.93,76.27,0,0.0155,1.55,LOW
Kochi,2021,9.93,76.27,0,0.0155,1.55,LOW
Kochi,2022,9.93,76.27,0,0.0155,1.55,LOW
Kochi,2023,9.93,76.27,0,0.0155,1.55,LOW
Kolkata,2015,22.57,88.36,0,0.0155,1.55,LOW
Kolkata,2016,22.57,88.36,0,0.0155,1.55,LOW
Kolkata,2017,22.57,88.36,0,0.0155,1.55,LOW
Kolkata,2018,22.57,88.36,0,0.0155,1.55,LOW
Kolkata,2019,22.57,88.36,0,0.0155,1.55,LOW
Kolkata,2020,22.57,88.36,0,0.0155,1.55,LOW
Kolkata,2021,22.57,88.36,0,0.0155,1.55,LOW
