district,year,lat,lon,drought_label,drought_prob,drought_risk_score,risk_category
Central Delhi,2010,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2011,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2012,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2013,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2014,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2015,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2016,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2017,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2018,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2019,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2020,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2021,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2022,28.6508,77.2219,0,0.0,0.0,LOW
Central Delhi,2023,28.6508,77.2219,0,0.0,0.0,LOW
East Delhi,2010,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2011,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2012,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2013,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2014,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2015,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2016,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2017,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2018,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2019,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2020,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2021,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2022,28.6271,77.2907,0,0.0,0.0,LOW
East Delhi,2023,28.6271,77.2907,0,0.0,0.0,LOW
New Delhi,2010,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2011,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2012,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2013,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2014,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2015,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2016,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2017,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2018,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2019,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2020,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2021,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2022,28.6139,77.209,0,0.0,0.0,LOW
New Delhi,2023,28.6139,77.209,0,0.0,0.0,LOW
North Delhi,2010,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2011,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2012,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2013,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2014,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2015,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2016,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2017,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2018,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2019,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2020,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2021,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2022,28.7041,77.1025,0,0.0,0.0,LOW
North Delhi,2023,28.7041,77.1025,0,0.0,0.0,LOW
North East Delhi,2010,28.6921,77.2979,0,0.0,0.0,LOW
North East Delhi,2011,28.6921,77.2979,0,0.0,0.0,LOW
North East Delhi,2012,28.6921,77.2979,0,0.0,0.0,LOW
North East Delhi,2013,28.6921,77.2979,0,0.0,0.0,LOW
North East Delhi,2014,28.6921,77.2979,0,0.0,0.0,LOW
North East Delhi,2015,28.6921,77.2979,0,0.0,0.0,LOW
North East Delhi,2016,28.6921,77.2979,0,0.0,0.0,LOW
North East Delhi,2017,28.6921,77.2979,0,0.0,0.0,LOW
North East Delhi,2018,28.6921,77.2979,0,0.0,0.0,LOW
North East Delhi,2019,28.6921,77.2979,0,0.0,0.0,LOW
