district,year,lat,lon,heatwave_label,heatwave_prob,heatwave_risk_score,risk_category
Central Delhi,2010,28.6508,77.2219,1,0.9882,98.82,VERY HIGH
Central Delhi,2011,28.6508,77.2219,1,0.9752,97.52,VERY HIGH
Central Delhi,2012,28.6508,77.2219,1,0.9985,99.85,VERY HIGH
Central Delhi,2013,28.6508,77.2219,1,0.9842,98.42,VERY HIGH
Central Delhi,2014,28.6508,77.2219,1,0.9985,99.85,VERY HIGH
Central Delhi,2015,28.6508,77.2219,1,0.9977,99.77,VERY HIGH
Central Delhi,2016,28.6508,77.2219,1,0.9545,95.45,VERY HIGH
Central Delhi,2017,28.6508,77.2219,1,0.9986,99.86,VERY HIGH
Central Delhi,2018,28.6508,77.2219,1,0.9882,98.82,VERY HIGH
Central Delhi,2019,28.6508,77.2219,1,0.9985,99.85,VERY HIGH
Central Delhi,2020,28.6508,77.2219,1,0.9842,98.42,VERY HIGH
Central Delhi,2021,28.6508,77.2219,1,0.9746,97.46,VERY HIGH
Central Delhi,2022,28.6508,77.2219,1,0.9985,99.85,VERY HIGH
Central Delhi,2023,28.6508,77.2219,1,0.9506,95.06,VERY HIGH
East Delhi,2010,28.6271,77.2907,1,0.9882,98.82,VERY HIGH
East Delhi,2011,28.6271,77.2907,1,0.9752,97.52,VERY HIGH
East Delhi,2012,28.6271,77.2907,1,0.9985,99.85,VERY HIGH
East Delhi,2013,28.6271,77.2907,1,0.9882,98.82,VERY HIGH
East Delhi,2014,28.6271,77.2907,1,0.9842,98.42,VERY HIGH
East Delhi,2015,28.6271,77.2907,1,0.9985,99.85,VERY HIGH
East Delhi,2016,28.6271,77.2907,1,0.9545,95.45,VERY HIGH
East Delhi,2017,28.6271,77.2907,1,0.9835,98.35,VERY HIGH
East Delhi,2018,28.6271,77.2907,1,0.9882,98.82,VERY HIGH
East Delhi,2019,28.6271,77.2907,1,0.9842,98.42,VERY HIGH
East Delhi,2020,28.6271,77.2907,0,0.1002,10.02,LOW
