city,year,lat,lon,total_rainfall,total_et0,total_deficit,dry_days,max_dry_spell_days,spi_3month_mean,spi_12month_mean,drought_label
Bengaluru,2015,12.97,77.59,1176.9,1534.79,357.89,225,58,0.36232019250520925,0.490793707698728,0
Bengaluru,2016,12.97,77.59,775.5,1631.82,856.32,261,53,-0.31533285753979823,0.1449616114720876,0
Bengaluru,2017,12.97,77.59,968.3,1605.1,636.8,209,36,-0.012485459736861475,-1.2259677972023206,1
Bengaluru,2018,12.97,77.59,942.9,1612.17,669.27,208,37,-0.07299048038379789,-0.2759556938197848,0
Bengaluru,2019,12.97,77.59,967.0,1633.18,666.18,209,67,-0.17332967173334315,-0.9514537299880572,0
Bengaluru,2020,12.97,77.59,1268.6,1584.85,316.25,214,61,0.03338262688193234,0.06020917930141953,0
Bengaluru,2021,12.97,77.59,1440.9,1556.75,115.85000000000001,190,51,0.3322844053544568,1.0203456997125944,0
Bengaluru,2022,12.97,77.59,1185.3,1580.18,394.88,216,38,0.19043807701908888,1.3888862990363833,0
Bengaluru,2023,12.97,77.59,795.5,1751.08,955.58,230,44,-0.15281576555833093,-0.16165054812589943,0
Bhopal,2015,23.26,77.41,1275.8,1692.65,416.85,277,33,0.30567785348138765,-0.4122794424086709,0
Bhopal,2016,23.26,77.41,1232.4,1766.86,534.46,266,84,-0.09317919083107172,-0.7484843512602689,0
Bhopal,2017,23.26,77.41,995.1,1788.65,793.55,274,107,-0.33873380265563946,-1.023227397078235,1
Bhopal,2018,23.26,77.41,1215.4,1815.64,600.24,279,87,-0.18026529610128172,-1.0116086999400569,1
Bhopal,2019,23.26,77.41,1974.4,1704.75,-269.65,249,80,-0.041851273292012985,0.09298959786557669,0
Bhopal,2020,23.26,77.41,1529.8,1652.65,122.85000000000001,249,67,0.15293155462014044,1.2252530299478426,0
Bhopal,2021,23.26,77.41,1577.4,1656.91,79.50999999999999,250,61,0.07699437974013845,0.49819684288939814,0
Bhopal,2022,23.26,77.41,1707.7,1807.32,99.61999999999998,267,141,0.03985265317262722,0.7703927387692645,0
Bhopal,2023,23.26,77.41,1068.7,1718.79,650.09,264,62,0.06199980053984835,0.1947471011911906,0
Bikaner,2015,28.02,73.31,376.7,2162.2,1785.5,316,100,0.6484961405011965,1.4014341770398746,0
Bikaner,2016,28.02,73.31,219.20000000000002,2284.88,2065.68,323,87,-0.286025504190741,0.25992455758988553,0
Bikaner,2017,28.02,73.31,211.5,2311.35,2099.85,323,90,-0.1298842389986951,-0.09824813930085864,0
Bikaner,2018,28.02,73.31,180.5,2287.83,2107.33,334,99,-0.30732093205437694,-0.6621970821897601,0
Bikaner,2019,28.02,73.31,282.0,2085.52,1803.52,324,93,-0.041963849794435876,-0.7233666895237754,0
Bikaner,2020,28.02,73.31,179.9,2147.41,1967.51,332,89,0.11122946694300959,0.34553409799796464,0
Bikaner,2021,28.02,73.31,181.8,2206.36,2024.56,333,146,-0.345647968288103,-1.273912108917665,1
Bikaner,2022,28.02,73.31,413.1,2211.2,1798.1,321,101,0.2486054577084078,0.8421081673095634,0
Bikaner,2023,28.02,73.31,337.8,2093.71,1755.91,323,46,0.1912100519181617,1.2955314639284043,0
Chennai,2015,13.08,80.27,1238.0,1712.82,474.82,241,39,-0.086287430178617,0.03824926020612678,0
Chennai,2016,13.08,80.27,1014.4,1761.32,746.92,274,72,-0.046144900337774394,0.3291280202039428,0
Chennai,2017,13.08,80.27,1335.1,1702.73,367.63,226,56,-0.03400337626318563,-0.9236428441991221,0
Chennai,2018,13.08,80.27,844.4,1752.19,907.79,253,64,-0.25292072350088524,-0.059745472723263846,0
Chennai,2019,13.08,80.27,932.1,1727.57,795.47,228,41,-0.37959242404581245,-1.3917397720341884,1
Chennai,2020,13.08,80.27,1343.2,1652.71,309.51,217,60,-0.08662439916257367,-0.6468898143626624,0
Chennai,2021,13.08,80.27,1727.2,1669.12,-58.08000000000001,206,51,0.31065530740217595,0.7215028321637916,0
Chennai,2022,13.08,80.27,1441.4,1688.48,247.08,211,33,0.2591226402574733,1.2218753375518783,0
Chennai,2023,13.08,80.27,1625.2,1735.5,110.29999999999995,213,44,0.341348624734111,0.7558514327610728,0
Hyderabad,2015,17.39,78.49,495.1,1835.7,1340.6,289,56,0.07191516254579851,-2.407083569989323,1
Hyderabad,2016,17.39,78.49,969.3,1756.1,786.8,269,51,0.025687477363622903,-1.2568986111668585,1
Hyderabad,2017,17.39,78.49,754.3,1737.75,983.45,259,74,-0.17998151238997048,0.18884405832221612,0
Hyderabad,2018,17.39,78.49,708.4,1690.81,982.41,268,74,-0.28240642019814377,-0.5817556065534961,0
Hyderabad,2019,17.39,78.49,853.1,1635.24,782.14,240,71,-0.036546997037243144,-0.689283538610821,0
Hyderabad,2020,17.39,78.49,1126.8,1553.18,426.38,255,69,0.2523214419857946,0.6781259773715317,0
Hyderabad,2021,17.39,78.49,787.3,1649.85,862.55,249,95,-0.09206492218875996,0.7754140635036618,0
Hyderabad,2022,17.39,78.49,921.6,1703.7,782.1,255,63,0.05151789534695183,0.16922083554020548,0
Hyderabad,2023,17.39,78.49,969.0,1757.28,788.28,264,74,0.2575606272968317,0.7318576870831902,0
Jaisalmer,2015,26.92,70.91,244.8,2292.14,2047.34,336,101,0.3844863139501664,0.2551164634040857,0
Jaisalmer,2016,26.92,70.91,113.7,2365.49,2251.79,341,87,-0.29996951971969044,-0.3146961705779138,0
Jaisalmer,2017,26.92,70.91,293.40000000000003,2382.49,2089.09,330,87,0.18044504416328036,-0.14201696643915565,0
Jaisalmer,2018,26.92,70.91,63.800000000000004,2461.65,2397.85,356,135,-0.41671178880164167,-0.3390435968457846,0
Jaisalmer,2019,26.92,70.91,177.0,2231.62,2054.62,332,72,-0.01034668375851559,-1.0689170521705897,1
Jaisalmer,2020,26.92,70.91,438.5,2277.78,1839.28,343,107,0.41038987883191147,0.3418003253218915,0
Jaisalmer,2021,26.92,70.91,84.4,2383.14,2298.74,349,165,-0.4869371791008638,0.35727656352153686,0
Jaisalmer,2022,26.92,70.91,478.7,2322.1,1843.4,324,156,0.26158753507431737,0.16555185600120384,0
Jaisalmer,2023,26.92,70.91,265.5,2256.51,1991.01,333,75,0.07232410129314279,0.9840059879276251,0
Jodhpur,2015,26.24,73.02,329.9,2110.63,1780.73,325,100,0.16842816755817278,-0.4931994879477862,0
Jodhpur,2016,26.24,73.02,417.4,2094.85,1677.45,324,125,-0.17396987033879438,-0.414971819193848,0
Jodhpur,2017,26.24,73.02,462.3,2065.07,1602.77,305,63,-0.014884820104661344,0.4075528815384609,0
Jodhpur,2018,26.24,73.02,172.29999999999998,2202.31,2030.01,340,127,-0.3895077103298557,-0.7167897290116377,0
Jodhpur,2019,26.24,73.02,418.5,2007.0,1588.5,323,178,-0.13659824970578407,-1.3407066625806563,1
Jodhpur,2020,26.24,73.02,489.7,1994.19,1504.49,313,112,0.1679779193226434,0.421748594987835,0
Jodhpur,2021,26.24,73.02,353.2,2069.29,1716.09,326,105,-0.13053903429006833,0.15446679620759995,0
Jodhpur,2022,26.24,73.02,576.7,2076.34,1499.64,309,123,0.19641678796001327,0.47722023069458164,0
Jodhpur,2023,26.24,73.02,575.7,1932.0,1356.3,310,59,0.3075461972194909,1.0402411397997897,0
Nagpur,2015,21.15,79.09,1051.0,1690.09,639.09,280,63,0.268075046012127,-1.0145407937001414,1
Nagpur,2016,21.15,79.09,1433.0,1696.58,263.58,266,83,-0.07966208234881766,-0.6909476212899518,0
Nagpur,2017,21.15,79.09,935.0,1842.64,907.64,266,70,-0.36090334575801464,-0.6227146144162016,0
Nagpur,2018,21.15,79.09,1154.0,1733.57,579.5699999999999,272,76,-0.08936609350424507,-0.9912910147484111,0
Nagpur,2019,21.15,79.09,1472.0,1756.18,284.18,257,93,0.017611738712105814,-0.40975294593552103,0
Nagpur,2020,21.15,79.09,1664.6,1611.74,-52.859999999999985,241,75,0.2719638238959955,0.6929401091814559,0
Nagpur,2021,21.15,79.09,1223.0,1677.55,454.55,253,77,-0.1690630057364464,0.29103307373123855,0
Nagpur,2022,21.15,79.09,1997.7,1746.13,-251.57000000000002,251,146,0.1475139138970427,0.5977349438142783,0
Nagpur,2023,21.15,79.09,1391.2,1783.17,391.97,259,72,0.06241058245279745,1.134022288169213,0
Patna,2015,25.59,85.14,878.5,1549.18,670.6800000000001,263,63,0.11056116210967189,-1.5795467921086077,1
Patna,2016,25.59,85.14,1195.3,1610.38,415.08,252,82,-0.03457317032222584,-1.3612470655555957,1
Patna,2017,25.59,85.14,1175.0,1543.4,368.4,246,63,-0.05758314163390067,0.015627652561288473,0
Patna,2018,25.59,85.14,1054.5,1592.7,538.2,252,66,-0.25631480505029647,-0.5397185059962898,0
Patna,2019,25.59,85.14,1354.8,1565.23,210.43,255,53,0.010200512166737926,-0.589978238820909,0
Patna,2020,25.59,85.14,1569.8,1374.57,-195.23000000000002,227,69,0.32174146816320454,1.180893637710004,0
Patna,2021,25.59,85.14,1638.3,1444.74,-193.56,232,68,-0.011997690850133398,1.069397310214136,0
Patna,2022,25.59,85.14,1153.1,1556.92,403.82,254,80,0.17790536241506416,0.6348241238416256,0
Patna,2023,25.59,85.14,1168.9,1660.53,491.63,262,66,-0.16839697931458836,-0.4056660690088121,0
Pune,2015,18.52,73.86,828.2,1617.42,789.22,237,40,0.3383407198845127,-0.8816190781326004,0
Pune,2016,18.52,73.86,1329.2,1567.16,237.96000000000004,232,78,0.2254408434135452,-0.32658104465518517,0
Pune,2017,18.52,73.86,935.4,1690.68,755.28,251,126,-0.25654837454639606,0.27240084900572326,0
Pune,2018,18.52,73.86,680.9,1645.14,964.24,250,74,-0.1851961644724007,-0.7156560139576689,0
Pune,2019,18.52,73.86,1480.4,1633.77,153.37,234,156,-0.057626447886619324,-0.6364174900779221,0
Pune,2020,18.52,73.86,1485.2,1552.97,67.77000000000001,235,84,0.2632161651426327,1.4677675441133764,0
Pune,2021,18.52,73.86,952.8,1539.77,586.97,231,39,0.08150090580215967,0.6249246622386949,0
Pune,2022,18.52,73.86,1076.7,1640.75,564.05,238,116,0.08223182452493899,-0.26181059191183237,0
Pune,2023,18.52,73.86,782.0,1718.95,936.95,258,64,-0.11255020929025525,-0.4275411880744002,0
